feature,mean_std,max_kurt,max_nan,n_lowvar,n_highkurt,n_nanflag
atr_14_norm,1.1134752321068078,7.162587125568665,0.133130081300813,0,0,10
bb_width,1.094694124224306,5.51146688663998,0.13617886178861788,0,0,10
ema20_slope_5d,1.0666393224129558,1.7303080907619863,0.14126016260162602,0,0,10
macd_signal,1.1714963043453277,1.2625122332620382,0.14227642276422764,0,0,10
obv_5d_z,1.136327524249674,42.256904830113164,0.13211382113821138,0,0,10
post_0,0.0,0.0,0.0,10,0,0
post_1,0.0,0.0,0.0,10,0,0
post_2,0.0,0.0,0.0,10,0,0
post_3,0.0,0.0,0.0,10,0,0
post_4,0.0,0.0,0.0,10,0,0
regime_0,0.0,0.0,0.0,10,0,0
regime_1,0.0,0.0,0.0,10,0,0
regime_2,0.0,0.0,0.0,10,0,0
regime_3,0.0,0.0,0.0,10,0,0
regime_4,0.0,0.0,0.0,10,0,0
ret_10d,1.0404921539341938,1.5755438552186996,0.13719512195121952,0,0,10
ret_1d,1.009635625112542,6.712813156477532,0.12804878048780488,0,0,10
ret_20d,1.0666965422131358,1.5292103204713547,0.14735772357723578,0,0,10
ret_5d,1.0260376088117371,2.4460356119568774,0.13211382113821138,0,0,10
roc_10,1.0409688658789142,1.7569816419646074,0.13719512195121952,0,0,10
rsi_14,1.0248380770201324,-0.18718487807668538,0.13414634146341464,0,0,10
rvol_20d,1.133914290130862,3.096880329178633,0.13719512195121952,0,0,10
sma10_20_ratio,1.0558611381493452,1.5181138333019635,0.13617886178861788,0,0,10
sma20_50_ratio,1.1294376971122062,0.5893933396942348,0.15142276422764228,0,0,10
vol_ratio,0.8999009846811452,88.10490872556856,0.009146341463414634,0,2,0
